fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220408 203424	1069	13	325	36	5	10780000	1
20220408 212834	1602	11	123	34	5	11072000	2
20220408 215734	1323	17	270	17	5	10839000	3
20220408 221032	975	17	462	10	5	11457000	4
20220408 223954	827	15	242	29	5	10586000	5
20220408 225109	1765	27	61	3	5	11157000	6
20220408 225908	1178	2	215	39	5	9300000	7
20220409 003237	1479	21	372	44	5	10205000	8
20220409 004314	2468	2	299	23	5	8867000	9
20220409 004927	288	25	129	15	5	10376000	10
20220409 014956	1989	25	188	23	5	9842000	11
20220409 020459	245	21	93	45	5	9130000	12
20220409 020830	635	7	435	6	5	10503000	13
20220409 033817	2251	9	484	49	5	10494000	14
20220409 035325	422	30	379	27	5	10509000	15
20220409 040953	2081	6	25	13	5	10717000	16
20220409 041957	191	17	500	42	5	10523000	17
20220409 043043	2216	17	487	2	5	10633000	18
20220409 043339	481	17	450	3	5	11237000	19
20220409 044405	800	27	184	9	5	10872000	20
20220409 045730	791	17	500	14	5	11455000	21
20220409 050733	933	17	500	8	5	11727000	22
20220409 051342	1373	13	1	2	5	10826000	23
20220409 051839	1007	16	500	2	5	10504000	24
20220409 052332	985	17	500	2	5	10667000	25
20220409 052537	216	19	395	6	5	11467000	26
20220409 052659	120	17	460	7	5	11083000	27
20220409 053537	828	20	435	7	5	11657000	28
20220409 054150	748	19	221	5	5	11488000	29
20220409 055831	1577	19	500	8	5	11618000	30
20220409 060154	448	23	391	4	5	11137000	31
20220409 061434	1116	18	389	8	5	11664000	32
20220409 062433	902	19	500	8	5	11704000	33
20220409 063227	894	18	471	6	5	11403000	34
20220409 065058	1825	24	385	7	5	11504000	35
20220409 065927	911	21	12	6	5	10686000	36
20220409 070750	755	19	364	8	5	11677000	37
20220409 071858	968	21	402	8	5	11403000	38
20220409 073343	1244	15	500	9	5	11550000	39
20220409 075456	1966	17	333	8	5	11591000	40
20220409 081605	2480	27	354	6	5	11769000	41
20220409 083333	1914	28	428	6	5	11731000	42
20220409 091002	2499	28	429	7	5	11575000	43
20220409 095441	2312	27	428	5	5	11600000	44
20220409 103832	2068	28	287	6	5	11550000	45
20220410 134837	2168	26	499	6	5	11450000	46
20220410 141710	2375	20	345	6	5	11556000	47
20220410 142943	1151	27	373	6	5	11534000	48
